Frequentist,Bayesian,All models,Variable
 76, 24,102,Number
3.00,2.12,2.75,MedianCovs
0.47,0.04,0.36,Prop_ModAvg
0.95,0.33,0.80,Prop_AnySelect
0.37,0.00,0.27,Prop_Sequential
0.08,0.04,0.07,Prop_Simple
0.45,0.12,0.36,Prop_Candidate
0.20,0.12,0.18,Prop_GOF
0.04,0.17,0.07,Prop_Eval
