Frequentist,Bayesian,All models,Variable
47,13,59,Number
3.75,2.75,3.50,MedianCovs
0.70,0.00,0.56,Prop_ModAvg
0.91,0.31,0.78,Prop_AnySelect
0.40,0.00,0.32,Prop_Sequential
0.04,0.08,0.05,Prop_Simple
0.49,0.15,0.42,Prop_Candidate
0.17,0.23,0.19,Prop_GOF
0.06,0.23,0.10,Prop_Eval
